comment,Sentiments,Label
sama kaya anak aku kmrn cuma kasih obat plg alhamdulilah sembuh dicover bpjs,1,positif
anak waktu demam atas sama pas test darah semua hasil baik tetap rawat inap observasi sakit apa dicover bpjs pelayananya ramah muas,1,positif
suminar sekarang gmn mom moga sehat momin doain moga mom si kecil sehat,1,positif
alhamdulilah skrg sehat momin berkat bpjs dokter jujur ramah mau jelajah sana sini terus amin doa yg sama momin,1,positif
betul anak semua ga sampe tangan dgn baik dgn bpjs,1,positif
anak d daftar kn dl bpjs drmom jd pisah bpjs ortu anak dl aku punya bpjs jg krna awal askes kantor ibu tp skrg ubah nama jd bpjs seluruh masyarakat mudah cepat asal daftar diri dl,1,positif
mudah ank semua jauhakan dri segala sakit amin sehat tumbuh baik,1,positif
patah tulang jg kak alhamdulilah kemarin ana patah tulang paha semua cover bpjs layan muas,1,positif
alhamdulilah moga mom si kecil baik sehat selalu,1,positif
anak waktu datang kondisi mengigil terus bada panas alhamdulilah cover bpjs awat baik sdan peduli kok bayi usia bulan kayak kalau usia bayi banget terima aja resiko kalau apa apa,1,positif
baik jangan nungu sakit baru ngurus bpjs mom insya bpjs sangat bantu mudah moms asal bayar jgn sampe telat ikut yg kelas aja klo blm mampu kelas yg kelas,1,positif
wah info tarik thanks for sharing mom,1,positif
demam naik turun terus sampe mau hari lgsg igd rs swasta biar cepet dpt plyanan yg bagus pas smpe sana ditawarin pake bpjs alhmdlah dpt plyanan bagus bgt gratis tis,1,positif
ana demam tingi gejala dehidrasi batpil lsg suruh rawat inap sama dokter tercover bpjs semua fre pelayananya sama baik aman,1,positif
anak pernah jg nih tp alhamdulilah pake bpjs kok keluarga sangat bantu hadir bpjs,1,positif
alhamdulilah nak waktu dbd sama muntaber dicover bpjs layan oke banget cepat cekat,1,positif
ana baru aja kemarin opname diagnosa dokter kena ispa lekosit tingi alhamdulilah dicover bpjs baik,1,positif
rsupn cipto mangunkusumo ayah ku pasang ring layan sangat cepat mama ku rsup fatmawati layan dng baik,1,positif
syukur bpjs temen moga udah langsung potong lewat sistem aji,1,positif
aku malah bantu bgt sama bpjs lahir x cesar bpjs semua anak sakit pake bpjs trus pas suami kmrn masuk igd alhamdulilah cover ful bpjs alhamdulilah bantu sih sama bpjs yuk ah bayar rutin,1,positif
bpjs oke bgd salah satu program perintah men sejahtera rakyat,1,positif
mksih info bagus nich penting bpjs nih,1,positif
kalau bayarin bpjs orang tua gak pakai itung subsidi lah keluarga bayar bpjs pdhl pakai nya asuransi soal bpjs paling lengkap aman kl apa si kemudian hari,1,positif
bpjs lancar aman aja tuh makanya sadar utk rutin bayar tiap bulan autodebit kok klo sakit ga beda kok rawat inap jg baik aja pelayananya love bpjs,1,positif
bpjs benar bantu sekali yuk gotong royong,1,positif
alhamdulilah bpk semenjak bikin dri awal smpe skrng ga telat byr blm prnh d pke lg,1,positif
selalu bayar bpjs yakin sangat bantu kalau suatu hari,1,positif
i kalo ga salah bpjs premi paling murah jasa asuransi manfat yg lumayan lengkap lo,1,positif
inget bpjs sifat gotong royong makanya iur bantu sama,1,positif
makas info nya min sangat mending bahas bpjs aja kripto,1,positif
bukan pro perintah tiap kebijakanya bpjs keluarga alhamdulilah sangat bantu obat mata gk perlu biaya kaca mata gratis tiap tahun sekali,1,positif
aku selalu rutin bayar bpjs biarpun gak pernah pake periksa milih bayar umum cuma sadar diri aja misal rawat inap jadi dicover bpjs jaga jaga sih itung itung sama aja tiap bulan,1,positif
ibu operasi jantung pake bpjs kok periksa sama dokter baik gratis layan ramah gratis bagus bayar,1,positif
sama mbak dulu gak pikir tahun lalu ayah sakit pas banget deket lebaran kalo gada bpjs berapa banyak uang keluar huhuhu terimakasih bpjs pelayananya sangat muas,1,positif
bpjs sangat bantu masyarakat kasihan kalo yg rutin bayar iur yg nungak ga fair lah ayo sama bahu bahu saling bantu lindung,1,positif
alhamdulilah sy ber thn kontrol dokter bpjs bnyk yg baik ramah syukur bngt matur nuwun dok bagus metode,1,positif
wah info tarik nih banyak yg gak tau denda bpjs,1,positif
bener kalau bpjs nya premi hrs bayar aktif yuk yuk bayar rutin bpjs untung diri sendiri,1,positif
tujuanya memang baik sadar lebih baik bayar premi rutin bayar denda yuk doa moga bijak perintah subsidi sehinga nilai iur bpjs nya rang banyak bantu masyarakat,1,positif
aku ketemu dokter spesialis neurolog baik banget rsi pku mriksanya detail jasa jg detail ramah padahal aku pakai bpjs lho,1,positif
alam lama obat mau pake bpjs engak ketemu nakes ramah sabar pas jelasin tuh saking jarang jadi haru kes banget padahal kalo pikir pikir layan baik kan memang,1,positif
betul atur biar bpjs rutin bayar iur gak cuma pas sakit doang,1,positif
alhamdulilah lama pake bpjs banyak ketemu ramah oke jelas bagus kok,1,positif
iya contoh kasus kalau pas sakit bpjs gak aktif mau aktif sakit masuk paket rp juta jd inti atur tuju biar bpjs rutin bayar iur gak cuma pas sakit doang,1,positif
anak ikut kis istri bukan kis potong sat gaji biaya anak kmren thn mertua kaki amputasi lumayan biaya tp sampek skrg tagih alias gratis bantu bpjs layan muas baik,1,positif
bayar iur bpjs sih kalo gue itung sedekah sama org yg butuh walaupun blm pernah kepake jadi saling,1,positif
teman betul lahir normal dicover biaya bpjs rumah sakit kondisi buk minimal temu awat dokter ramah kata alhamdulilah,1,positif
alhamdulilah sampek usia bln u kontrol tp bayar kalo kandung normal aja ga keluh tp bayar umum donk baru kalo keluh berat bpjs d sangat bantu,1,positif
aku usg dr spesialis gratis x pemeriksan sc cuma bayar udh dpt tisu basah kering dpt pampers royal soft mamy poko balut maternity dokter ama awat baik banget,1,positif
november kemarin lahir sc pake bpjs ketuban pecah dini enga buk status udah cito alhamdulilah biaya nol rupiah layan sama pasien dokter ramah sekali dapet bingkis diapers buat dedek bayi,1,positif
alhamdulilah usg lahir sc ditangung bpjs biaya anak ditangung sangat bantu hadir bpjs pelayanya oke banget ramah sopan,1,positif
aku bru mulai pake bpjs pas udah hamil bulan jaga kalo lahir sc biar gratis jadi sampe lahir mulai kontrol usg sampe sc gratis alhamdulilah terimakasih bpjs,1,positif
kmrn usg sblm lahir bayar krn periksa klinik sih pake bpjs tp praktek dokter pagi jdnya suami gak anterin tp pas sc ful bpjs layan rsnya bagus bgt,1,positif
pas hamil usg gratis n lahir sc n bayi lgsg urus bpjs alhamdulilah semua ditangung bpjs layan muas tp pake rujuk dr faskes,1,positif
