comment,Sentiments,Label
sama kaya anak aku kemarin kasih obat plg alhamdulilah sembuh dicover bpjs,1,positif
anak waktu demam atas sama pas test darah semua hasil baik tetap rawat inap observasi sakit apa dicover bpjs pelayananya ramah muas,1,positif
suminar sekarang bagaimana mom moga sehat momin doa moga mom si kecil sehat,1,positif
alhamdulilah sekarang sehat momin berkat bpjs dokter jujur ramah mau jelajah sana sini terus amin doa sama momin,1,positif
betul anak semua tangan baik bpjs,1,positif
anak daftar kn dl bpjs drmom jadi pisah bpjs orang tua anak dl aku punya bpjs awal askes kantor ibu sekarang ubah nama jadi bpjs seluruh masyarakat mudah cepat asal daftar diri dl,1,positif
mudah anak semua jauhakan segala sakit amin sehat tumbuh baik,1,positif
patah tulang kakak alhamdulilah kemarin anak patah tulang paha semua cover bpjs layan muas,1,positif
alhamdulilah moga mom si kecil baik sehat selalu,1,positif
anak waktu datang kondisi mengigil terus bada panas alhamdulilah cover bpjs awat baik sdan peduli kok bayi usia bulan kalau usia bayi banget terima resiko kalau apa apa,1,positif
baik jangan nunggu sakit baru ngurus bpjs mom insya bpjs sangat bantu mudah moms asal bayar janagn telat ikut kelas kalau mampu kelas kelas,1,positif
wah info tarik thanks for mom,1,positif
demam naik turun terus mau hari langsung igd rs swasta cepat plyanan bagus sana ditawarin pakai bpjs alhmdlah plyanan bagus banget gratis tis,1,positif
anak demam tinggi gejala dehidrasi batpil lsg suruh rawat inap sama dokter tercover bpjs semua fre pelayananya sama baik aman,1,positif
anak pernah alhamdulilah pakai bpjs kok keluarga sangat bantu hadir bpjs,1,positif
alhamdulilah anak waktu dbd sama muntaber dicover bpjs layan oke banget cepat cekat,1,positif
anak baru kemarin opname diagnosa dokter kena ispa lekosit tinggi alhamdulilah dicover bpjs baik,1,positif
rsupn cipto mangunkusumo ayah ku pasang ring layan sangat cepat ibu ku rsup fatmawati layan dng baik,1,positif
syukur bpjs temen moga langsung potong lewat sistem aji,1,positif
aku malah bantu banget sama bpjs lahir kali cesar bpjs semua anak sakit pakai bpjs terus suami kemarin masuk igd alhamdulilah cover ful bpjs alhamdulilah bantu sih sama bpjs yuk ah bayar rutin,1,positif
bpjs oke banget salah satu program perintah men sejahtera rakyat,1,positif
mksih info bagus penting bpjs,1,positif
kalau bayar bpjs orang tua pakai itung subsidi lah keluarga bayar bpjs padahal pakai asuransi soal bpjs paling lengkap aman kalau apa si kemudian hari,1,positif
bpjs lancar aman tuh makanya sadar rutin bayar tiap bulan autodebit kok kalau sakit beda kok rawat inap baik pelayananya love bpjs,1,positif
bpjs benar bantu sekali yuk gotong royong,1,positif
alhamdulilah bapak semenjak awal skrng telat bayar pernah pakai,1,positif
selalu bayar bpjs yakin sangat bantu kalau suatu hari,1,positif
i kalau salah bpjs premi paling murah jasa asuransi manfat lumayan lengkap kamu,1,positif
ingat bpjs sifat gotong royong makanya iur bantu sama,1,positif
terimakasih info admin sangat mending bahas bpjs kripto,1,positif
bukan pro perintah tiap kebijakanya bpjs keluarga alhamdulilah sangat bantu obat mata perlu biaya kaca mata gratis tiap tahun sekali,1,positif
aku selalu rutin bayar bpjs biarpun pernah pakai periksa milih bayar umum sadar diri misal rawat inap jadi dicover bpjs jaga jaga sih itung itung sama tiap bulan,1,positif
ibu operasi jantung pakai bpjs kok periksa sama dokter baik gratis layan ramah gratis bagus bayar,1,positif
sama kakak dulu pikir tahun lalu ayah sakit banget deket lebaran kalau bpjs berapa banyak uang keluar huhuhu terimakasih bpjs pelayananya sangat muas,1,positif
bpjs sangat bantu masyarakat kasihan kalau rutin bayar iur nunggak adil lah ayo sama bahu bahu saling bantu lindung,1,positif
alhamdulilah tahun kontrol dokter bpjs banyak baik ramah syukur banget matur nuwun dok bagus metode,1,positif
wah info tarik banyak tahu denda bpjs,1,positif
benar kalau bpjs premi bayar aktif yuk yuk bayar rutin bpjs untung diri sendiri,1,positif
