comment,case_folding,remove_emoji,cleaning_text,replace_3_or_more,tokenize,word_normalization,stemming,stopwords,Sentiments,Label
 ini sama kaya anak aku kmrn cuma dikasih obat dan plg alhamdulillah sembuh tapi bisa dicover bpjs, ini sama kaya anak aku kmrn cuma dikasih obat dan plg alhamdulillah sembuh tapi bisa dicover bpjs, ini sama kaya anak aku kmrn cuma dikasih obat dan plg alhamdulillah sembuh tapi bisa dicover bpjs, ini sama kaya anak aku kmrn cuma dikasih obat dan plg alhamdulillah sembuh tapi bisa dicover bpjs, ini sama kaya anak aku kmrn cuma dikasih obat dan plg alhamdulilah sembuh tapi bisa dicover bpjs,"['ini', 'sama', 'kaya', 'anak', 'aku', 'kmrn', 'cuma', 'dikasih', 'obat', 'dan', 'plg', 'alhamdulilah', 'sembuh', 'tapi', 'bisa', 'dicover', 'bpjs']",ini sama kaya anak aku kemarin hanya dikasih obat dan pulang alhamdulilah sembuh tapi bisa dicover bpjs,ini sama kaya anak aku kemarin hanya kasih obat dan pulang alhamdulilah sembuh tapi bisa dicover bpjs,sama kaya anak aku kemarin kasih obat pulang alhamdulilah sembuh dicover bpjs,1,positif
"Anak saya waktu demam diatas 40 sama pas test darah semua hasil baik , tapi tetap dirawat inap karena masih diobservasi sakitnya apa dan dicover bpjs . Pelayanannya ramah dan memuaskan","anak saya waktu demam diatas 40 sama pas test darah semua hasil baik , tapi tetap dirawat inap karena masih diobservasi sakitnya apa dan dicover bpjs . pelayanannya ramah dan memuaskan","anak saya waktu demam diatas 40 sama pas test darah semua hasil baik , tapi tetap dirawat inap karena masih diobservasi sakitnya apa dan dicover bpjs . pelayanannya ramah dan memuaskan",anak saya waktu demam diatas    sama pas test darah semua hasil baik   tapi tetap dirawat inap karena masih diobservasi sakitnya apa dan dicover bpjs   pelayanannya ramah dan memuaskan,anak saya waktu demam diatas sama pas test darah semua hasil baik tapi tetap dirawat inap karena masih diobservasi sakitnya apa dan dicover bpjs pelayananya ramah dan memuaskan,"['anak', 'saya', 'waktu', 'demam', 'diatas', 'sama', 'pas', 'test', 'darah', 'semua', 'hasil', 'baik', 'tapi', 'tetap', 'dirawat', 'inap', 'karena', 'masih', 'diobservasi', 'sakitnya', 'apa', 'dan', 'dicover', 'bpjs', 'pelayananya', 'ramah', 'dan', 'memuaskan']",anak saya waktu demam diatas sama pas test darah semua hasil baik tapi tetap dirawat inap karena masih diobservasi sakitnya apa dan dicover bpjs pelayananya ramah dan memuaskan,anak saya waktu demam atas sama pas test darah semua hasil baik tapi tetap rawat inap karena masih observasi sakit apa dan dicover bpjs pelayananya ramah dan muas,anak waktu demam atas sama test darah semua hasil baik tetap rawat inap observasi sakit apa dicover bpjs pelayananya ramah muas,1,positif
"@cu.suminar sekarang keadaannya gmn mom? Semoga sehat ya, momin doain semoga mom dan si kecil sehat2 🙏🏻😍","@cu.suminar sekarang keadaannya gmn mom? semoga sehat ya, momin doain semoga mom dan si kecil sehat2 ðð»ð","@cu.suminar sekarang keadaannya gmn mom? semoga sehat ya, momin doain semoga mom dan si kecil sehat2 ",  suminar sekarang keadaannya gmn mom  semoga sehat ya  momin doain semoga mom dan si kecil sehat  , suminar sekarang keadanya gmn mom semoga sehat ya momin doain semoga mom dan si kecil sehat ,"['suminar', 'sekarang', 'keadanya', 'gmn', 'mom', 'semoga', 'sehat', 'ya', 'momin', 'doain', 'semoga', 'mom', 'dan', 'si', 'kecil', 'sehat']",suminar sekarang keadanya bagaimana ibu semoga sehat ya momin doakan semoga ibu dan si kecil sehat,suminar sekarang ada bagaimana ibu moga sehat ya momin doa moga ibu dan si kecil sehat,suminar sekarang bagaimana ibu moga sehat momin doa moga ibu si kecil sehat,1,positif
" alhamdulillah skrg sudah sehat lagi momin berkat bpjs dokternya jujur dan ramah, maunya menjelajah sana sini terus 😊 Aamiin doa yg sama untuk momin ❤️"," alhamdulillah skrg sudah sehat lagi momin berkat bpjs dokternya jujur dan ramah, maunya menjelajah sana sini terus ð aamiin doa yg sama untuk momin â¤ï¸"," alhamdulillah skrg sudah sehat lagi momin berkat bpjs dokternya jujur dan ramah, maunya menjelajah sana sini terus  aamiin doa yg sama untuk momin ", alhamdulillah skrg sudah sehat lagi momin berkat bpjs dokternya jujur dan ramah  maunya menjelajah sana sini terus  aamiin doa yg sama untuk momin , alhamdulilah skrg sudah sehat lagi momin berkat bpjs dokternya jujur dan ramah maunya menjelajah sana sini terus amin doa yg sama untuk momin ,"['alhamdulilah', 'skrg', 'sudah', 'sehat', 'lagi', 'momin', 'berkat', 'bpjs', 'dokternya', 'jujur', 'dan', 'ramah', 'maunya', 'menjelajah', 'sana', 'sini', 'terus', 'amin', 'doa', 'yg', 'sama', 'untuk', 'momin']",alhamdulilah sekarang sudah sehat lagi momin berkat bpjs dokternya jujur dan ramah maunya menjelajah sana sini terus amin doa yang sama untuk momin,alhamdulilah sekarang sudah sehat lagi momin berkat bpjs dokter jujur dan ramah mau jelajah sana sini terus amin doa yang sama untuk momin,alhamdulilah sekarang sehat momin berkat bpjs dokter jujur ramah mau jelajah sana sini terus amin doa sama momin,1,positif
 betul.. anak2 saya semua ga sampe 40 tertangani dgn baik dgn BPJS., betul.. anak2 saya semua ga sampe 40 tertangani dgn baik dgn bpjs., betul.. anak2 saya semua ga sampe 40 tertangani dgn baik dgn bpjs., betul   anak  saya semua ga sampe    tertangani dgn baik dgn bpjs , betul anak saya semua ga sampe tertangani dgn baik dgn bpjs ,"['betul', 'anak', 'saya', 'semua', 'ga', 'sampe', 'tertangani', 'dgn', 'baik', 'dgn', 'bpjs']",betul anak saya semua tidak sampai tertangani dengan baik dengan bpjs,betul anak saya semua tidak sampai tangan dengan baik dengan bpjs,betul anak semua tangan baik bpjs,1,positif
" anak harus d daftar kn dl BPJS drmom, jd terpisah antara BPJS ortu dan anak, dl aku punya BPJS jg krna berawal dari askes kantor ibuku, tp skrg berubah nama jd BPJS dan bisa di gunakan oleh seluruh masyarakat dengan mudah dan cepat asalkan mendaftarkan diri dl"," anak harus d daftar kn dl bpjs drmom, jd terpisah antara bpjs ortu dan anak, dl aku punya bpjs jg krna berawal dari askes kantor ibuku, tp skrg berubah nama jd bpjs dan bisa di gunakan oleh seluruh masyarakat dengan mudah dan cepat asalkan mendaftarkan diri dl"," anak harus d daftar kn dl bpjs drmom, jd terpisah antara bpjs ortu dan anak, dl aku punya bpjs jg krna berawal dari askes kantor ibuku, tp skrg berubah nama jd bpjs dan bisa di gunakan oleh seluruh masyarakat dengan mudah dan cepat asalkan mendaftarkan diri dl", anak harus d daftar kn dl bpjs drmom  jd terpisah antara bpjs ortu dan anak  dl aku punya bpjs jg krna berawal dari askes kantor ibuku  tp skrg berubah nama jd bpjs dan bisa di gunakan oleh seluruh masyarakat dengan mudah dan cepat asalkan mendaftarkan diri dl, anak harus d daftar kn dl bpjs drmom jd terpisah antara bpjs ortu dan anak dl aku punya bpjs jg krna berawal dari askes kantor ibuku tp skrg berubah nama jd bpjs dan bisa di gunakan oleh seluruh masyarakat dengan mudah dan cepat asalkan mendaftarkan diri dl,"['anak', 'harus', 'd', 'daftar', 'kn', 'dl', 'bpjs', 'drmom', 'jd', 'terpisah', 'antara', 'bpjs', 'ortu', 'dan', 'anak', 'dl', 'aku', 'punya', 'bpjs', 'jg', 'krna', 'berawal', 'dari', 'askes', 'kantor', 'ibuku', 'tp', 'skrg', 'berubah', 'nama', 'jd', 'bpjs', 'dan', 'bisa', 'di', 'gunakan', 'oleh', 'seluruh', 'masyarakat', 'dengan', 'mudah', 'dan', 'cepat', 'asalkan', 'mendaftarkan', 'diri', 'dl']",anak harus di daftar kn dulu bpjs drmom jadi terpisah antara bpjs orang tua dan anak dulu aku punya bpjs juga karena berawal dari askes kantor ibuku tapi sekarang berubah nama jadi bpjs dan bisa di gunakan oleh seluruh masyarakat dengan mudah dan cepat asalkan mendaftarkan diri dulu,anak harus di daftar kn dulu bpjs drmom jadi pisah antara bpjs orang tua dan anak dulu aku punya bpjs juga karena awal dari askes kantor ibu tapi sekarang ubah nama jadi bpjs dan bisa di guna oleh seluruh masyarakat dengan mudah dan cepat asal daftar diri dulu,anak daftar kn dulu bpjs drmom jadi pisah bpjs orang tua anak dulu aku punya bpjs awal askes kantor ibu sekarang ubah nama jadi bpjs seluruh masyarakat mudah cepat asal daftar diri dulu,1,positif
"Mudah2 ank2 kita semua di jauhakan dri segala penyakit amin,,,,sehat dan tumbuh dengan baik","mudah2 ank2 kita semua di jauhakan dri segala penyakit amin,,,,sehat dan tumbuh dengan baik","mudah2 ank2 kita semua di jauhakan dri segala penyakit amin,,,,sehat dan tumbuh dengan baik",mudah  ank  kita semua di jauhakan dri segala penyakit amin    sehat dan tumbuh dengan baik,mudah ank kita semua di jauhakan dri segala penyakit amin sehat dan tumbuh dengan baik,"['mudah', 'ank', 'kita', 'semua', 'di', 'jauhakan', 'dri', 'segala', 'penyakit', 'amin', 'sehat', 'dan', 'tumbuh', 'dengan', 'baik']",mudah anak kita semua di jauhakan dari segala penyakit amin sehat dan tumbuh dengan baik,mudah anak kita semua di jauhakan dari segala sakit amin sehat dan tumbuh dengan baik,mudah anak semua jauhakan segala sakit amin sehat tumbuh baik,1,positif
Patah tulang jg kak. Alhamdulillah kemarin anakku patah tulang paha dan semua cover bpjs pelayanan memuaskan.,patah tulang jg kak. alhamdulillah kemarin anakku patah tulang paha dan semua cover bpjs pelayanan memuaskan.,patah tulang jg kak. alhamdulillah kemarin anakku patah tulang paha dan semua cover bpjs pelayanan memuaskan.,patah tulang jg kak  alhamdulillah kemarin anakku patah tulang paha dan semua cover bpjs pelayanan memuaskan ,patah tulang jg kak alhamdulilah kemarin anaku patah tulang paha dan semua cover bpjs pelayanan memuaskan ,"['patah', 'tulang', 'jg', 'kak', 'alhamdulilah', 'kemarin', 'anaku', 'patah', 'tulang', 'paha', 'dan', 'semua', 'cover', 'bpjs', 'pelayanan', 'memuaskan']",patah tulang juga kakak alhamdulilah kemarin anakku patah tulang paha dan semua cover bpjs pelayanan memuaskan,patah tulang juga kakak alhamdulilah kemarin anak patah tulang paha dan semua cover bpjs layan muas,patah tulang kakak alhamdulilah kemarin anak patah tulang paha semua cover bpjs layan muas,1,positif
@permaditya alhamdulillah semoga mom dan si kecil baik2 dan sehat selalu yaaa 🙏🏻,@permaditya alhamdulillah semoga mom dan si kecil baik2 dan sehat selalu yaaa ðð»,@permaditya alhamdulillah semoga mom dan si kecil baik2 dan sehat selalu yaaa ,  alhamdulillah semoga mom dan si kecil baik  dan sehat selalu yaaa , alhamdulilah semoga mom dan si kecil baik dan sehat selalu ya ,"['alhamdulilah', 'semoga', 'mom', 'dan', 'si', 'kecil', 'baik', 'dan', 'sehat', 'selalu', 'ya']",alhamdulilah semoga ibu dan si kecil baik dan sehat selalu ya,alhamdulilah moga ibu dan si kecil baik dan sehat selalu ya,alhamdulilah moga ibu si kecil baik sehat selalu,1,positif
"Anak waktu itu datang kondisinya menggigil, terus badannya panas. Alhamdulillah di cover BPJS. Perawatnya baik2 sdan peduli kok Masih bayi usia 6 bulan. Kayaknya kalau usia masih bayi banget diterima aja ya karena beresiko kalau ada apa-apa","anak waktu itu datang kondisinya menggigil, terus badannya panas. alhamdulillah di cover bpjs. perawatnya baik2 sdan peduli kok masih bayi usia 6 bulan. kayaknya kalau usia masih bayi banget diterima aja ya karena beresiko kalau ada apa-apa","anak waktu itu datang kondisinya menggigil, terus badannya panas. alhamdulillah di cover bpjs. perawatnya baik2 sdan peduli kok masih bayi usia 6 bulan. kayaknya kalau usia masih bayi banget diterima aja ya karena beresiko kalau ada apa-apa",anak waktu itu datang kondisinya menggigil  terus badannya panas  alhamdulillah di cover bpjs  perawatnya baik  sdan peduli kok masih bayi usia   bulan  kayaknya kalau usia masih bayi banget diterima aja ya karena beresiko kalau ada apa apa,anak waktu itu datang kondisinya mengigil terus badanya panas alhamdulilah di cover bpjs perawatnya baik sdan peduli kok masih bayi usia bulan kayaknya kalau usia masih bayi banget diterima aja ya karena beresiko kalau ada apa apa,"['anak', 'waktu', 'itu', 'datang', 'kondisinya', 'mengigil', 'terus', 'badanya', 'panas', 'alhamdulilah', 'di', 'cover', 'bpjs', 'perawatnya', 'baik', 'sdan', 'peduli', 'kok', 'masih', 'bayi', 'usia', 'bulan', 'kayaknya', 'kalau', 'usia', 'masih', 'bayi', 'banget', 'diterima', 'aja', 'ya', 'karena', 'beresiko', 'kalau', 'ada', 'apa', 'apa']",anak waktu itu datang kondisinya mengigil terus badanya panas alhamdulilah di cover bpjs perawatnya baik dan peduli kok masih bayi usia bulan sepertinya kalau usia masih bayi banget diterima saja ya karena beresiko kalau ada apa apa,anak waktu itu datang kondisi mengigil terus bada panas alhamdulilah di cover bpjs awat baik dan peduli kok masih bayi usia bulan seperti kalau usia masih bayi banget terima saja ya karena resiko kalau ada apa apa,anak waktu datang kondisi mengigil terus bada panas alhamdulilah cover bpjs awat baik peduli kok bayi usia bulan kalau usia bayi banget terima resiko kalau apa apa,1,positif
